Vendor,Expense_Dept,Allocation_Schedule,GL_Code,email_domain,billing_party
Meraki Licensing,Networks,14,7110,meraki_licensing,Chelsea Piers
Meraki Licensing,Networks,15,7110,meraki_licensing,Chelsea Piers
TBD,Networks,16,7110,tbd,Chelsea Piers
Netgear,Networks,17,7110,netgear.com,Chelsea Piers
AWS TGW,Networks,18,7110,amazon.com,Chelsea Piers
Cisco Remote Access,Networks,18,7110,cisco.com,Chelsea Piers
AWS,Cloud,1,7112,amazon.com,Chelsea Piers
M365 Manager+ License,Cloud,1,7112,microsoft.com,Chelsea Piers
M365 Manager+ Tech License,Cloud,1,7112,microsoft.com,Chelsea Piers
M365 Manager+ Instance,Cloud,1,7112,microsoft.com,Chelsea Piers
Dropbox,Cloud,1,7112,dropbox.com,Chelsea Piers
Heroku,Cloud,1,7112,heroku.com,Chelsea Piers
Red Paladin,CyberSecurity,2,7111,redpaladin.com,Chelsea Piers
Mimecast - M365,CyberSecurity,1,7112,mimecast.com,Chelsea Piers
Mimecast - Awareness Training,CyberSecurity,1,7112,mimecast.com,Chelsea Piers
Mimecast - Advanced Support,CyberSecurity,1,7112,mimecast.com,Chelsea Piers
EasyDmarc,CyberSecurity,1,7112,easydmarc,Chelsea Piers
1Password,CyberSecurity,1,7112,1password,Chelsea Piers
Prowler,CyberSecurity,1,7112,prowler,Chelsea Piers
AWS Security Hub,CyberSecurity,1,7112,amazon.com,Chelsea Piers
Wazuh,CyberSecurity,1,7112,wazuh,Chelsea Piers
Cisco,CyberSecurity,1,7112,cisco.com,Chelsea Piers
FRSecure,CyberSecurity,1,7112,frsecure,Chelsea Piers
Sentinel One,CyberSecurity,3,7112,sentinelone.com,Chelsea Piers
Microsoft,M365 Suite,3,7112,microsoft.com,Chelsea Piers
Red Paladin,M365 Suite,2,7111,redpaladin.com,Chelsea Piers
Intune,M365 Suite,3,7112,microsoft.com,Chelsea Piers
Adobe Standard DC,Software - Marketing,1,7112,adobe.com,Chelsea Piers
???,Software - Marketing,1,7112,???,Chelsea Piers
Creative Cloud All Apps,Software - Marketing,1,7112,adobe.com,Chelsea Piers
"Suitcase, etc.",Software - Marketing,1,7112,"suitcase,_etc_",Chelsea Piers
Lytho,Software - Marketing,1,7112,lytho,Chelsea Piers
n24x7,Software - Marketing,2,7111,n24x7,Chelsea Piers
BeeFree,Software - Marketing,1,7112,beefree,Chelsea Piers
Bouncify,Software - Marketing,1,7112,bouncify,Chelsea Piers
Canva,Software - Marketing,1,7112,canva,Chelsea Piers
Eventbrite,Software - Marketing,,7112,eventbrite,Chelsea Piers
Google Analytics 4,Software - Marketing,1,7112,google.com,Chelsea Piers
MXMetrics,Software - Marketing,4,7112,mxmetrics,Chelsea Piers
Yext,Software - Marketing,1,7112,yext,Chelsea Piers
ZeptoMail,Software - Marketing,1,7112,zeptomail,Chelsea Piers
Zoho Campaigns - Professional,Software - Marketing,"100%, no allocation",7112,zoho_campaigns_-_professional,Chelsea Piers
Zoho Social - Premium,Software - Marketing,1,7112,zoho_social_-_premium,Chelsea Piers
Zoho Social - Premium Add-on,Software - Marketing,1,7112,zoho_social_-_premium_add-on,Chelsea Piers
Zoho Survey - Enterprise Plan,Software - Marketing,1,7112,zoho_survey_-_enterprise_plan,Chelsea Piers
Zoho Survey - Enterprise Users,Software - Marketing,1,7112,zoho_survey_-_enterprise_users,Chelsea Piers
Zoho Analytics - Enterprise,Software - Sales,1,7112,zoho_analytics_-_enterprise,Chelsea Piers
Zoho Bookings - Premium,Software - Sales,4,7112,zoho_bookings_-_premium,Chelsea Piers
Zoho Bookings - Premium Add-on,Software - Sales,4,7112,zoho_bookings_-_premium_add-on,Chelsea Piers
Zoho CRM - Enterprise,Software - Sales,5,7112,zoho_crm_-_enterprise,Chelsea Piers
Zoho CRM - Enterprise Team,Software - Sales,5,7112,zoho_crm_-_enterprise_team,Chelsea Piers
Zoho Desk - Agents,Software - Sales,6,7112,zoho_desk_-_agents,Chelsea Piers
Zoho Desk - Lite agents,Software - Sales,6,7112,zoho_desk_-_lite_agents,Chelsea Piers
Zoho Sign - Standard,Software - Sales,"100%, no allocation",7112,zoho_sign_-_standard,Chelsea Piers
Docusign,Software - Sales,"100%, no allocation",7112,docusign.com,Chelsea Piers
Zenatta,Software - Sales,1,7112,zenatta,Chelsea Piers
Adyen,Software - Finance,12,7112,adyen,Chelsea Piers
Netsuite,Software - Finance,7,7112,netsuite.com,Chelsea Piers
Netsuite,Software - Finance,"100%, no allocation",7112,netsuite.com,Chelsea Piers
Netsuite,Software - Finance,8,7112,netsuite.com,Chelsea Piers
Squareworks,Software - Finance,7,7112,squareworks,Chelsea Piers
PowerBI,Software - Finance,1,7112,powerbi,Chelsea Piers
Lagarsoft,Software - Finance,1,7112,lagarsoft,Chelsea Piers
Sage,Software - Finance,"100%, no allocation",7112,sage,Chelsea Piers
Qualys,Software - Finance,"100%, no allocation",7112,qualys,Chelsea Piers
Myers Holum,Software - Finance,9,7111,myers_holum,Chelsea Piers
Cohn Reznick,Software - Finance,9,7111,cohn_reznick,Chelsea Piers
AlertMedia,Software - People Ops,1,7112,alertmedia,Chelsea Piers
Indeed,Software - People Ops,1,7112,indeed,Chelsea Piers
Homebase,Software - People Ops,4,6214,homebase,Chelsea Piers
